投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,典型问题2,典型问题3,投诉时间,投诉状态,文本
514123,北京奔驰,奔驰C级,2019款 C 180 L 时尚型,"广汽本田凌派左后车窗突然爆裂厂家不保修
华晨宝马5系天窗B柱异响 底盘转向异响
广汽本田冠道发动机启动及过坑洼路面异响
吉利星越新能源车机互联功能失效
一汽大众探岳GTE充电故障4S店补贴不兑现
东风日产奇骏发动机噪音大自动熄火
一汽大众速腾后部悬挂高度低希望厂家处理
一汽大众CC首保后发动机漏油 4S店不回复
东风标致508进气管连接处严重受损
一汽大众高尔夫变速箱故障灯报警要求处理
广汽丰田雷凌转向异响4S店无法解决
一汽大众迈腾变速箱漏油希望厂家质保处理
东风雷诺e诺厂家无配件导致无法维修车辆
北京现代胜达电子手刹抱死无法释放
启辰e30空调制冷效果差维修未解决问题
东风标致308变速箱升挡异响希望厂家解决
一汽大众奥迪A4L发动机气门弹簧断裂
捷达VS5玲珑轮胎开裂希望厂家处理
上汽名爵3变速箱拨插头断裂希望厂家质保
上汽大众途观L车顶行李架变形天窗漏水
北京现代悦纳后保险杠车漆有凹凸感不光滑
一汽大众速腾行驶过程中天窗和后轮出现异响
斯柯达柯迪亚克GT方向盘和油门抖动
一汽大众迈腾大灯进水4S店不予解决
宝沃BX5冷车启动有异响希望尽快解决
一汽大众奥迪Q5L网关不防水设计有隐患
华晨宝马3系开空调时空气进气格栅异响
北京奔驰C级发动机冷却液温度高",发动机,冷却系统故障,人员技术,2020-08-26,信息审核,转向系统
514038,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,"一汽大众探岳座椅晃动异响有安全隐患
东风标致3008蓄电池充电或供电系统故障
华晨宝马3系右后尾灯卡扣断裂而且松动
陆风X7变速箱挂挡顿挫 有时无法加速
一汽大众宝来首保后行驶过程中顿挫
东风日产劲客副驾驶玻璃升降功能异常
吉利帝豪GL发动机漏油 减震器漏油
江淮iEV6E厂家无法提供DCDC配件进行更换
吉利帝豪GL更换离合器泵后抖动气囊故障灯亮
比亚迪S2行驶中动力电池突然没电要求解决
东风标致3008右前转向球头变形要求解决
哈弗M6雨刷器无法使用影响行车安全
WEY VV5变速箱异响发动机共振希望厂家处理
北京现代领动离合器变速箱异响频繁无倒挡
一汽大众奥迪A6L新车仪表台开裂
一汽大众奥迪A4L高速行驶时变速器故障灯亮
东风日产楼兰油电切换时变速箱顿挫异响
东风标致408固特异轮胎出现开裂的现象
广汽本田雅阁远光灯无法关闭要求处理
进口丰田普拉多发动机号与登记证不一致
东风日产轩逸变速箱故障4S店维修后未解决
北汽新能源EX行驶跑偏 电池续航不准
东风本田XR-V更换电磁阀后加速异响
东风日产轩逸发动机异响 玻璃升降失效
长安欧尚CX70发动机无法启动希望厂家解决
一汽大众探岳变速箱顿挫升降挡异响
东风日产奇骏C柱漏水希望厂家解决处理
一汽大众速腾大灯发白亮度低影响行车安全",车身附件及电器,车灯不亮,,2020-08-26,用户评分,车身附件及电器
513950,上汽大众,朗逸,2018款 1.5L 自动 舒适版 国V,"东风日产轩逸机舱内前悬挂塔顶积水生锈
一汽大众奥迪A6L新能源新车发动机漏机油
一汽大众捷达VS5变速箱打齿异响
广汽丰田凯美瑞主动刹车不灵敏 仪表不准确
长安CS85 COUPE减震器漏油 车门异响
众泰T300售后服务站不予保修要求解决
海马M6车身多处生锈希望厂家处理问题
吉利帝豪GS承诺退订金未兑现希望厂家处理
广汽丰田雷凌车身色差严重要求给予处理
上汽大众凌渡变速箱拖挡顿挫异响严重
北京现代领动行驶中变速箱有拖挡现象
一汽大众迈腾新车车身漏水要求给予处理
进口Jeep自由客车内异味严重要求厂家解决
一汽大众迈腾车内存在刺鼻的异味
纳智捷优6 SUV厂家召回却一直没有货
东风标致308方向盘抖动间隙大影响安全
东风本田INSPIRE转向异响多次维修未解决
上汽大众朗逸厂家提供赠送积分活动未兑现
一汽大众高尔夫车内隔音棉异味无法解决
一汽奔腾X40发动机缸盖维修更换后漏油
广汽本田皓影底盘下摆臂连接件生锈
华晨宝马X1维修发动机后出现多种故障
猎豹Mattu变速箱无法加速 发动机异响
吉利帝豪GL车型配置和减少要求厂家尽快处理
广汽本田缤智镀铬装饰条腐蚀氧化严重
上汽大众朗行大灯龟裂 空调不制冷
进口奔驰A级仪表提示变速箱故障灯亮
上汽大众朗逸空调漏水漆面生锈严重",车身附件及电器,车身生锈,空调问题,2020-08-25,用户评分,发动机
513849,广汽菲克菲亚特,致悦,2014款 1.4T 自动 舒适型,"一汽大众奥迪Q5挂D挡时车身有抖动现象
北京现代领动发动机螺丝渗油车门锈蚀
一汽丰田RAV4荣放发动机舱进泥浆
一汽大众速腾动力不足 换挡顿挫 底盘异响
东风标致408发动机烧机油希望尽快处理
广汽本田奥德赛发动机异响VTC执行器损坏
一汽大众速腾韩泰轮胎有裂缝希望厂家处理
一汽大众探岳内饰板电镀层爆皮发动机怠速不稳
东风御风尿素泵故障4S无法提供配件
奇瑞瑞虎3车身多处生锈 车内异味严重
北京BJ40 1600-1900转时油门踏板共振
广汽丰田C-HR漆面起泡 油箱密封圈开裂
启辰T90私自拆卸零件补贴未兑现不开发票
北汽幻速S3L天窗漏水 经销商无配件
上汽大众途岳发动机故障灯多次报警
长城C50车身多处生锈发动机烧机油严重
进口大众途锐发动机气门室盖垫处漏油
东风标致308变速箱顿挫希望尽快处理
东风标致2008 4S店强制要求购买库存车
沃尔沃亚太S90车内共振异响希望处理
沃尔沃S60新能源空调压缩机故障导致不制冷
广汽丰田汉兰达低速行驶变速箱顿挫异响
上汽大众凌渡冷车行驶时刹车盘有异响
北京现代索纳塔九导航黑屏死机要求更换
上汽大众桑塔纳发动机运转时噪音大
北京现代领动变速箱异响失去动力要求处理
广汽本田飞度起动机故障导致启动困难
广汽菲亚特致悦行驶中变速箱失去动力",变速器,无法加速,,2020-08-25,厂家受理,发动机
513772,上汽通用五菱,宝骏630,2011款 1.5L 手动 标准型,"吉利帝豪GL下雨天前车门无法解锁 把手掉漆
捷达VS5玲珑轮胎开裂存在质量问题
北京现代悦动发动机出现启动困难
东风日产逍客行驶中变速箱顿挫4S店不予保修
广汽讴歌CDX加速时动力电池异味要求解决
广汽丰田汉兰达挡把掉皮 挂挡时挡杆处异响
北京现代领动跑高速时岀现方向卡滞
东风标致4008续保押金到期不退还
东风日产奇骏行驶中刹车过硬刹车失灵
一汽大众高尔夫变速箱故障 离合器飞轮损坏
力帆轩朗行驶中熄火全车断电 刹车方向失灵
东风御风发动机气门折断4S店不予保修
领克01倒车影像不显示 车机反馈不准确
吉利远景X3车漆脱落行驶中突然熄火
长安UNI-T经销商出售展车不予解决
哈弗H2s中控台副驾侧鼓包严重要求处理
一汽大众奥迪Q3安全带锁扣开裂要求解决
上汽大众途昂后排座椅异响维修未解决
一汽大众宝来EPC故障灯亮 抖动 加速无力
长城炮变速箱低速四驱异响厂家不予解决
东风本田思铂睿4S店售后承诺保养不兑现
东风雷诺科雷傲挡把按钮和空调调节按钮损坏
奇瑞艾瑞泽EX车身异响严重变速箱无法加速
东风风光330行驶中右后车轮半轴损坏
一汽大众奥迪A4L发动机节温器漏防冻液
东风标致408电瓶亏电 4S店不解决问题
广汽本田冠道后车窗密封条出现断裂
宝骏630漆面鼓包希望厂家处理",车身附件及电器,漆面起泡开裂,,2020-08-25,处理反馈,轮胎
513658,上汽大众,朗逸,2019款 1.5L 自动 风尚版 国VI,"东风悦达起亚K3打方向时存在严重异响
一汽大众奥迪A4L车窗升降异响 热车怠速抖动
一汽大众速腾新车行驶中变速箱异响
吉利帝豪GL正常行驶中离合器失效影响使用
江淮瑞风S3前胎吃胎严重存在质量问题
进口福特探险者变速箱外壳漏油希望处理
一汽大众奥迪Q2L电瓶故障希望厂家处理
奇瑞艾瑞泽5e空调不制冷希望处理
吉利远景S1发动机抖动共振希望厂家处理
北京现代索纳塔九配件不按时到货价格谎报
东风日产奇骏变速箱顿挫无法加速
一汽大众探岳大灯透镜发白影响夜间照明
一汽大众探岳车机网络连接异常希望厂家处理
东风日产奇骏变速器顿挫脱挡 无法加速
北京汽车BEIJING-X3经销商不退订金
东风日产阳光变速箱拖挡4S店拒绝保修
广汽丰田凯美瑞中控仪表台软化异味
上汽大众途安变速箱顿挫希望厂家处理
一汽大众迈腾轮速传感器故障要求解决
上汽MAXUS T60分动器损坏4S店不保修
广汽讴歌CDX升降挡时变速箱顿挫严重
广汽传祺GM6方向机和车身抖动要求解决
哈弗H8保险盒总成故障电瓶故障灯亮
一汽大众高尔夫变速箱故障灯亮 挂挡不走
上汽通用五菱宏光随车工具千斤顶无法使用
北京现代领动ABS和牵引力控制灯报警
吉利博瑞发动机抖动严重希望处理
上汽大众朗逸发动机漏油维修未解决问题",发动机,漏油,,2020-08-25,处理反馈,发动机
513560,广汽丰田,雷凌,2019款 185T CVT 豪华版 国V,"捷达VS5后视镜调节失灵 4S店不提供合同
上汽大众途观L变速箱无法提速存在质量问题
东风日产奇骏大灯进水 反光碗出现腐蚀
上汽大众朗逸刹车时前轮位置存在异响
东风日产轩逸变速箱挂挡抖动 发动机熄火
一汽大众迈腾变速箱故障机电单元损坏
东风日产劲客优科豪马轮胎鼓包起皮
吉利经典帝豪车身腐蚀生锈希望处理
东风日产骐达变速箱异响很严重希望处理
广汽本田飞度行驶中变速箱顿挫刹车抖动
东风标致408固特异轮胎出现裂纹影响安全
比亚迪S6车身漆面起泡开裂希望处理
东风日产奇骏变速箱顿挫希望厂家解决
广汽丰田致享4S店不给机动车登记证尾灯异物
一汽大众探岳大灯透镜脏污影响驾驶安全
一汽大众探岳大灯透视发白影响驾驶安全
众泰T600变速箱无法换挡 温度过高
一汽大众奥迪Q3底盘异响 变速箱换挡异响
上汽通用五菱荣光新卡经销商出售库存车
奇瑞艾瑞泽5起步刹车异响 门框掉漆
华晨宝马3系转向沉重 故障灯亮希望处理
上汽大众途观发动机EPC故障灯亮多次返修
捷达VS7前风挡漏水 后视镜异响 刹车异响
北京现代途胜冷启动发动机抖动严重
新宝骏RS-5行驶中变速箱失去动力要求解决
中华H3转向卡滞异响要求厂家给予解决
知豆D2交流转换器无配件厂家不予解决
广汽丰田雷凌发动机异响4S店无法解决",发动机,异响,服务态度,2020-08-24,处理反馈,变速器
513430,一汽奔腾,奔腾T77,2020款 PRO 280 TID 自动 尊享型,"上汽大众途岳换挡时变速箱低速异响顿挫
北京现代名图发动机异响4S店无法解决
比亚迪S7变速箱顿挫 方向盘抖动 行驶跑偏
华晨宝马3系主驾驶侧遮阳板连接杆断裂
长安UNI-T正常行驶过程中转向系统锁死
东风本田杰德发动机异响开启空调怠速抖动
一汽大众迈腾中控台石英钟和仪表盘裂纹
长安CS55更换配件后发动机异响更加严重
广汽丰田雷凌行驶不平整路段中控台异响
宝骏310W方向盘助力失效4S店更换非原厂配件
一汽大众宝来天窗密封不到位导致漏水
上汽大众途观L变速箱跳挡希望厂家处理
长安CS85 COUPE变速箱顿挫希望厂家处理
华晨宝马X1天窗异响希望厂家处理问题
长安欧尚欧力威方向盘沉重升降器有故障
东风悦达起亚KX7起步抖动 动力消失
长安跨越新豹3变速箱破损希望尽快处理
东风日产天籁变速箱阀体故障要求延保
上汽大众帕萨特新能源混合动力出现故障	
长安CS55打方向异响 维修后未解决
欧拉黑猫远程控制无法使用 蓝牙无法控制
华晨宝马5系方向机异响 售后不予保修
东风日产逍客保养之后变速箱故障
东风标致307油箱多功能阀破裂导致有汽油味
东风风行景逸X5车身漏水导致仪表失灵
东风雪铁龙C5车窗升降器故障希望更换处理
奇瑞艾瑞泽5整车故障多厂家不予解决
一汽奔腾T77空调排水管堵塞 导致车内积水",车身附件及电器,空调问题,,2020-08-24,处理反馈,发动机
513317,DS汽车,DS 5LS,2014款 1.6T 自动 豪华版 THP200,"长安标致雪铁龙DS7车窗异响厂家未解决问题	
一汽大众奥迪Q5L全轮驱动故障灯报警
北京现代ix35发动机油耗无故增多
一汽大众高尔夫发动机漏防冻液希望处理
一汽大众奥迪A4L机油损耗异常 发动机漏油
东风标致5008转向异响4S店维修后未解决
奇瑞瑞虎7离合器不回弹导致无法挂挡
一汽大众探岳大灯透镜出现裂纹亮度不足
中兴领主三元催化器破损厂家拒绝索赔
一汽丰田皇冠方向盘掉皮希望处理	
广汽本田锋范发动机仓内部件生锈要求解决
上汽大众凌渡车内异味严重希望处理
进口大众Passat半轴异响4S店不予保修
长安马自达昂克赛拉行驶中发动机抖动
东风悦达起亚KX3傲跑中控屏死机中控台异响
吉利帝豪GL下雨天车门无法开启希望处理
上汽大众朗逸熄火后油箱位置异响严重
哈弗H6 Coupe电子系统故障多项功能失灵
奇瑞艾瑞泽5行驶中天窗自动开启无法关闭
东风标致3008进气系统故障发动机故障灯亮
东风标致408方向盘按键有掉皮的现象
进口起亚索兰托高压油泵故障要求免费更换
华晨宝马3系发动机热量管理模块故障
上汽大众凌渡发动机爆震 变速箱顿挫有异响
吉利帝豪GL仪表盘玻璃外罩开裂质量差
华晨宝马3系左后尾灯出现裂纹厂家拒绝保修
广汽丰田汉兰达变速箱 方向盘及刹车异响
长安标致雪铁龙DS 5LS事故车维修没有配件 ",,配件争议,,2020-08-24,信息审核,车身附件及电器
513232,广汽本田,凌派,2017款 1.8L CVT 舒适特装版,"一汽大众奥迪Q5车内有异味影响身体健康
上汽大众朗逸变速箱异响倒挡无法解除
比亚迪S7因偶发性漏水导致异响抖动
长安锐程CC车门多处生锈 气囊故障灯亮
奇瑞瑞虎3x行驶过程中发动机突然熄火
一汽大众速腾电网控制单元出现故障
东风日产轩逸刹车时油箱异响明显
新宝骏RM-5变速箱挂挡顿挫严重 车机死机
一汽大众高尔夫预定与所提车型年款不同
进口奔驰GLE行驶中车顶配件掉落要求处理
上汽通用五菱宏光车身生锈车漆起泡脱落
东风雪铁龙世嘉减震器弹簧断裂
奇瑞瑞虎7左尾灯灯罩磨损4S店不予解决
上汽大通MAXUS V80 DPF堵塞行驶中熄火
一汽大众奥迪A4L变速箱换挡异响抖动顿挫
广汽丰田凯美瑞行驶过程中车内有异响
东风日产阳光起步时离合器异响要求解决
吉利帝豪GL下雨天车门打不开希望处理
东风雪铁龙C4L发动机烧机油 链条异响
一汽丰田亚洲龙刹车异响 A柱车门异响
东风雪铁龙C4L转向柱松动影响安全
上汽大众朗逸低速行驶中变速箱异响
WEY VV5发动机故障灯亮 变速箱顿挫
众泰芝麻右后刹车分泵损坏漏油影响安全
一汽大众奥迪A4L车轮异响严重希望处理
吉利帝豪GL下雨天车门打不开希望处理
进口奔驰C级转向机故障沉重失灵望厂家解决
广汽本田凌派风扇电机故障导致无法工作",发动机,冷却系统故障,,2020-08-24,用户评分,变速器
513118,领克汽车,领克01,2017款 2.0T 自动 两驱 型 Pro,"长安逸动DT转向柱生锈希望厂家处理
众泰E200制动总泵损坏充电机损坏厂家无货
长安CS55 PLUS行驶过程中发动机和车门异响
东风日产天籁车内异味 发动机烧机油
北京现代朗动中控屏黑屏无法正常使用
上汽大众朗逸后排进水更换密封条未解决
捷达VS5正常行驶中底盘异响希望得到解决
一汽丰田威驰行驶中发动机异响4S店不处理
长安马自达昂克赛拉汽油泵故障行驶中熄火
东风本田CR-V行驶中ACC感应失灵
东风本田CR-V轮胎吃胎偏磨要求解决
一汽大众速腾踩油门加速变速箱有异响
进口奥迪S3变速箱报警 发动机漏防冻液
华晨宝马X1变速箱无法挂挡副驾安全带故障
离合器异响
一汽大众宝来引擎盖车漆开裂4S店否认问题
北京现代领动空调面板开裂希望尽快处理
北汽绅宝D70发动机抖动 熄火 碳罐进油
广汽丰田凯美瑞副驾驶车门生锈希望处理
上汽大众途观L主驾驶座椅异响维修未解决
一汽大众奥迪A4L右前大灯内有雪花状裂纹
上汽大众途观发动机转速高车速却很低
一汽丰田奕泽旧车置换补贴不兑现
比亚迪F0底盘锈蚀严重希望尽快处理
吉利帝豪GL副驾驶座椅缝线开裂海绵漏出
广汽本田飞度变速箱漏油希望尽快解决
瑞虎5x变速箱上坡时无法加速望厂家解决
领克01车辆在拖车过程中疑似进水",,人员技术,,2020-08-24,用户评分,制动系统
513019,东风雪铁龙,C4世嘉,2016款 1.6L 手动 豪华型,"众泰E200动力电池经常断开无法行驶
广汽丰田雷凌变速箱漏油质保期内未告知
一汽大众探岳大灯透镜白雾影响夜间照明安全
北京现代领动4S店维修后门锁故障
斯威G10车辆购买前重新做过漆要求解决
北京奔驰C级发动机进气凸轮轴移位
斯柯达昊锐车内刺鼻异味严重无法解决
上汽大众朗逸变速箱异响希望尽快解决
一汽大众奥迪A6L低速行驶变速箱抖动异响
一汽大众奥迪A6L变速箱异响4S店无法解决
东风本田思铂睿行驶中转向沉重要求解决
广汽本田雅阁右侧日间行车灯不亮要求解决
一汽大众速腾轮速传感器多次报警要求解决
一汽大众奥迪A4L车身镀铬亮条氧化严重
捷途X70经销商承诺免费保养不兑现
奇瑞瑞虎7底盘多处生锈4S店修出新故障
广汽丰田凯美瑞仪表台出油反光影响驾驶安全
绅宝D50安全气囊故障灯亮无法消除
一汽大众探岳刹车失灵 大灯亮度过低
华晨宝马X1转向时失去助力故障灯亮
江铃福特全顺三元催化器堵塞导致故障灯亮
广汽本田凌派涡轮增压器异响动力不足
一起大众迈腾新车机油泄漏4S店出售问题车
上汽大众朗逸行驶中加速时变速箱异响
广汽丰田致炫原装韩泰轮胎出现裂纹
广汽本田飞度冷车启动时发动机异响
一汽大众高尔夫换挡机构故障导致故障灯亮
东风雪铁龙C4世嘉方向盘晃动要求更换",转向系统,抖动,,2020-08-23,处理反馈,变速器
512920,北京现代,悦动,2018款 1.6L 自动 悦目版 GL 国V,"广汽丰田雷凌变速箱漏油 后减震器漏油
广汽本田凌派行驶中涡轮增压器故障无法加速
奇瑞瑞虎3x前风挡玻璃无故开裂希望处理
广汽传祺GA8水管破损渗漏防冻液希望处理
江淮瑞风S5发动机掉落厂家不处理
长城炮车联网功能无法使用希望尽快处理
一汽大众探岳变速箱异响无法加速
上汽大众朗逸右前轮刹车异响严重
众泰E200动力电池故障无法行驶无配件
上汽大众途观进气管漏油希望处理
一汽大众速腾高速行驶时多个故障灯亮
东风本田CR-V前机盖爆皮车门金属条掉色
一汽马自达阿特兹车身异响严重无法解决
新宝骏RS-5车门饰条开裂 自动刹车功能不全
一汽吉林森雅R7发动机漏油希望厂家处理
上汽大众朗逸韩泰轮胎开裂存在质量问题
上汽大众朗逸韩泰轮胎出现裂口严重影响安全
东风本田XR-V 4S店收取购车意向金不予退还
一汽大众速腾换挡时变速箱有异响
一汽大众速腾四条韩泰轮胎出现裂纹
广汽丰田凯美瑞机油增多无解决方案
东风本田XR-V发动机启动时异响严重
广汽丰田凯美瑞混合动力系统故障无法加速
上汽大众途观L方向盘居中时车辆却向右跑偏
众泰T600副驾驶中控台处有漏水的现象
华晨宝马5系车机系统一直无法进行升级
一汽丰田RAV4荣放车门 车窗及车身异响
北京现代悦动车身多处锈蚀影像行车安全",车身附件及电器,车身生锈,,2020-08-23,用户评分,发动机
512838,福田汽车,祥菱V,2018款 1.2L 半承载 3070轴距(厢车)4W12M1,"一汽吉林森雅R9变速箱及废气排放系统故障
华晨宝马5系车内持续异响希望解决
江淮瑞风M4发动机无故障码抖动
长安马自达CX-5悦联系统屏幕乱跳
广汽本田凌派4S店召回燃油泵后发动机熄火
一汽吉林森雅R9厂家不提供配件无法维修
一汽大众探岳车身低频共振 前后雨刮异响
一汽大众捷达离合器行程长脚感硬 刹车生锈
上汽大众朗逸车内异味影响身体健康
一汽马自达阿特兹天窗和车身B柱异响
北汽昌河Q7中控屏卡死无故重启要求解决
东风悦达起亚福瑞迪空调压缩机故障不予质保
吉利远景X6底盘生锈车窗和天窗不能自动关闭
一汽马自达CX-4保险杠开裂4S店维修损坏车辆
一汽马自达CX-4车身异响 天窗异响
奇瑞艾瑞泽GX油门踏板抖动4S店查不出原因
一汽大众奥迪A6L尾灯多处有开裂的现象
广汽本田雅阁踩油门行驶时发动机有异响
长安标致雪铁龙DS7尾灯进水严重承诺不兑现
东风本田杰德挂D挡和S挡时车辆无法行驶
领途K-ONE高速行驶时故障灯亮无法启动
猎豹Mattu行驶中发动机抖动动力消失
中华H230年检时OBD无法连接影响验车
进口英菲尼迪QX60行驶过程中发动机抖动
北京现代菲斯塔大灯开裂厂家不予质保
开瑞K50车身生锈多处漆面有脱落的现象
北京现代菲斯塔前杠掉漆希望给予处理
福田祥菱V排气管冒白烟发动机机油增多",发动机,机油增多,冷却系统故障,2020-08-23,信息审核,车身附件及电器
512764,一汽丰田,亚洲龙,2019款 2.5L Touring 尊贵版 国V,"广汽丰田凯美瑞发动机启停时存在异响
东风本田杰德仪表盘无法正常显示影响使用
东风悦达起亚K5凯酷维修后发动机漏油熄火
广汽本田飞度启动机故障导致无法启动
奇瑞瑞虎7四个车门下方生锈车门异响
斯柯达Yeti中控台及车厢内隔音棉有异味
东风标致3008空调压缩机无法启动空调不制冷
上汽大众途昂进气格栅发白4S店不予更换
广汽本田飞度整车生锈严重存在质量问题
北汽昌河Q35密封胶融化导致门内饰板破损
上汽大众途安车内异味影响身体健康
猎豹CS9方向机损坏无售后解决问题
北京现代名图轮毂腐蚀灯眉断裂4S店不保修
奇瑞瑞虎7挂入倒挡后偶有无法摘挡现象
广汽三菱奕歌轮毂均出现不同程度的氧化
北京现代名图后视镜镜片高速抖动更换未解决
东风标致408燃油泵故障导致车辆抖动
陕汽德龙X3000驾驶室支架螺丝有拆装痕迹
广汽传祺GA3车身生锈发动机噪音大有异响
一汽大众迈腾变速箱机电控制单元出现故障
华晨宝马X1行驶过程中刹车紧急抱死
江铃新能源E200L动力电池故障厂家无配件
广汽丰田凯美瑞中控台出油反光开裂
奇瑞艾瑞泽5车门和后备箱处有生锈的现象
北京现代途胜空调面板按键有开裂的现象
长安CS55优科豪马轮胎有起皮开裂的现象
华晨宝马3系高速行驶中发动机噪音大
一汽丰田亚洲龙天窗底盘异响车门有漏风现象",前后桥及悬挂系统,底盘异响,影音系统故障,2020-08-23,厂家受理,车身附件及电器
512681,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 进取型 国VI,"BEIJING-X7车顶有补漆现象车身有色差
东风日产奇骏风扇罩变形发动机故障灯亮
东风标致408更换正时皮带后发动机烧机油
东风标致408轮毂出现氧化的现象
奇瑞艾瑞泽GX刹车异响熄火后仪表盘闪烁
东风日产劲客4S店销售库存车要求解决
北京现代领动中控台鼓包4S店不予索赔
长安林肯飞行家发动机怠速抖动 门锁内部断裂
一汽丰田RAV4荣放尾灯自然开裂质量差
一汽马自达睿翼仪表台及顶棚严重脱胶开裂
广汽本田冠道正常行驶中故障灯全亮
进口福特探险者发动机缺缸 防冻液减少
广汽三菱奕歌车身 中控 天窗 座椅异响
捷达VS7倒车雷达蜂鸣器故障无配件维修
一汽马自达CX-4车身及车内异响严重
东风雪铁龙C4L方向盘异响 一键启动失效
一汽马自达阿特兹车身异响严重方向盘不正
上汽大众途观变速箱换挡时顿挫前冲
SWM斯威X7 ABS故障 发动机漏油
一汽大众奥迪Q5L变速箱离合器故障
进口宝马7系车速超过85KM/H刹车踏板振动
华晨宝马3系发动机热管理模块损坏 漏冷却液
东风日产天籁安全系统失效和车顶棚异响
上汽大众途观L轮毂表面氧化 厂家拒绝更换
广汽本田飞度通电后发动机无法正常启动
一汽大众高尔夫变速箱顿挫维修后未解决
上汽大众途岳座椅支架螺丝生锈 变速箱异响
一汽大众奥迪A4L变速箱机电单元故障",变速器,滑阀箱故障,,2020-08-22,信息审核,发动机
512582,东风风行,风行T5L,2020款 改款 1.5T 自动 豪华型 7座,"东风标致408发动机烧机油存在质量问题
上汽大众途昂新车前减震处异响非常严重
北京BJ40坡道起步时动力消失希望厂家处理
一汽马自达阿特兹车漆腐蚀有瑕疵 车身异响
一汽马自达阿特兹车身异响希望厂家解决
一汽大众蔚领天窗严重漏水质量差
华晨宝马3系方向机故障方向盘无法转向
一汽大众速腾汽油泵故障导致发动机熄火
奇瑞eQ1购车配套的充电桩没有交付
华晨宝马X3前悬挂异响要求彻底解决故障
一汽大众探岳新车左侧前后车门大面积喷漆
一汽马自达CX-4车身ABC柱异响希望解决
奇瑞瑞虎8固铂轮胎鼓包存在质量问题
上汽大众桑塔纳车身多处生锈 半轴漏油
众泰T600 Coupe电子手刹及驻车故障灯亮
上汽大通G10发动机无法提速 机油增多
一汽丰田卡罗拉后风挡玻璃破裂厂家不解决
吉利博瑞天窗遮阳帘卡住无法回收
一汽丰田卡罗拉发动机真空管损坏
哈弗H2开启空调后方向盘和座椅抖动
广汽本田皓影车门螺丝生锈门板松动有异响
众泰T300发动机熄火挂挡后无法行驶
一汽大众高尔夫行驶过程中变速箱有异响
广汽本田雅阁行驶过程中B柱出现异响
华晨宝马3系冷却系统故障维修未解决
一汽大众高尔夫行驶过程中故障报警
北京现代菲斯塔后备箱漆面出现龟裂现象
东风风行T5L正常行驶过程中天窗突然爆裂",车身附件及电器,玻璃开裂,,2020-08-22,处理反馈,前后桥及悬挂系统
512501,东风雷诺,科雷缤,2019款 TCe270 自动 劲享型,"北京奔驰GLA轮速传感器故障导致故障灯亮
众泰T700后备箱电动液压杆损坏厂家无配件	
海马爱尚EV开车过程中突然动力电池断电
北京现代途胜冷车起步时离合器有抖动现象
北京现代途胜行驶过程中底盘有异响
捷达VS7蓝牙有杂音 语音识别效果差
东风日产天籁提前还款时收取高额手续费
捷途X70前后排座椅异响无法索赔
吉利帝豪GS发动机故障灯亮维修未解决
一汽大众奥迪A6L不平路面行驶时底盘有异响
一汽马自达阿特兹A柱B柱及中控异响
广汽本田飞度发动机启动困难要求处理
一汽丰田RAV4荣放左右两侧半轴防尘套漏油
斯柯达速派发动机怠速运转时转速过低
广汽传祺GS8座椅塌陷4S店不予解决
一汽马自达CX-4行驶过程中车身有异响
东风雪铁龙C4世嘉方向盘间歇大4S店不保修
广汽传祺GM6全款购车4S店一直未给合格证
广汽传祺GS5 Super挡杆锁止按钮损坏
北汽新能源LITE续航里程不足希望处理
上汽大众桑塔纳刹车防抱死功能出现故障
一汽马自达CX-4车身异响希望尽快处理
广汽本田皓影4S店承诺赠送原厂配件未兑现
雷克萨斯GS质保期内大灯开裂厂家不解决
长安马自达CX-5右侧电动后视镜无法回位
一汽大众速腾经销商拒绝按时交付车辆
奇瑞捷途X90钥匙手环损坏厂家不索赔
东风雷诺科雷缤胎压报警 私自终止互联服务	",车身附件及电器,胎压监测故障,服务态度,2020-08-22,信息审核,车身附件及电器
